Time,Temp_F
00:22,75.0
00:43,75.3
00:47,75.3
01:08,75.6
01:17,75.7
01:46,76.0
01:59,76.1
02:45,75.8
02:45,75.7
03:44,75.9
04:02,76.0
04:33,76.2
04:45,76.2
04:53,76.4
05:24,76.0
05:38,75.9
05:40,75.9
05:52,75.9
06:13,76.0
06:39,76.1
07:12,76.1
07:28,76.1
07:32,76.2
07:35,76.2
07:46,76.3
08:00,76.3
08:19,76.0
08:24,76.0
09:06,75.8
09:18,75.8
09:26,75.8
10:18,75.4
11:13,75.3
11:18,75.3
11:33,74.9
12:16,75.3
13:10,75.7
13:54,76.1
14:09,76.2
14:21,76.4
15:01,76.7
15:08,76.8
15:47,77.2
16:00,77.1
16:10,76.6
16:53,75.7
16:59,75.7
17:47,75.0
17:59,74.9
18:24,74.5
18:53,74.1
19:45,75.0
19:55,75.1
20:13,76.0
20:38,76.3
20:42,76.4
20:58,76.6
21:41,76.9
21:44,76.9
22:02,76.9
22:26,76.9
22:35,76.8
22:48,76.8
22:59,76.8
23:26,77.0
23:50,75.9
23:54,75.9
